num_attacks,board
39,"[[None, None, None, None, 'Destroyer', 'Destroyer', None, None, 'Submarine', None], ['Cruiser', None, None, None, None, None, None, None, 'Submarine', None], ['Cruiser', None, None, None, None, None, None, None, 'Submarine', None], ['Cruiser', None, None, None, None, None, None, None, None, None], ['Battleship', 'Battleship', 'Battleship', 'Battleship', None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None]]"
49,"[[None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, 'Battleship'], [None, None, None, None, None, None, None, None, None, 'Battleship'], ['Cruiser', 'Cruiser', 'Cruiser', None, None, None, 'Destroyer', None, None, 'Battleship'], [None, None, None, None, None, None, 'Destroyer', 'Aircraft_Carrier', None, 'Battleship'], [None, None, None, None, None, None, None, 'Aircraft_Carrier', None, None], [None, None, None, None, None, None, None, 'Aircraft_Carrier', None, None], [None, None, None, None, None, None, None, 'Aircraft_Carrier', 'Submarine', None], [None, None, None, None, None, None, None, 'Aircraft_Carrier', 'Submarine', None], [None, None, None, None, None, None, None, None, 'Submarine', None]]"
41,"[['Battleship', None, None, None, None, None, None, None, None, None], ['Battleship', None, None, None, None, None, None, None, None, None], ['Battleship', None, 'Cruiser', 'Cruiser', 'Cruiser', None, None, None, None, None], ['Battleship', None, None, None, None, None, None, None, 'Destroyer', None], [None, None, 'Submarine', 'Submarine', 'Submarine', None, None, 'Aircraft_Carrier', 'Destroyer', None], [None, None, None, None, None, None, None, 'Aircraft_Carrier', None, None], [None, None, None, None, None, None, None, 'Aircraft_Carrier', None, None], [None, None, None, None, None, None, None, 'Aircraft_Carrier', None, None], [None, None, None, None, None, None, None, 'Aircraft_Carrier', None, None], [None, None, None, None, None, None, None, None, None, None]]"
45,"[[None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, 'Cruiser', 'Cruiser', 'Cruiser', None, None], [None, None, 'Destroyer', None, None, None, None, None, None, None], [None, None, 'Destroyer', None, None, None, 'Battleship', 'Battleship', 'Battleship', 'Battleship'], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, 'Submarine', 'Submarine', 'Submarine', None, None, None], [None, None, None, None, None, 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier']]"
53,"[[None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, 'Destroyer', 'Destroyer', None, None], [None, None, None, None, 'Cruiser', 'Cruiser', 'Cruiser', None, None, None], [None, None, None, None, None, None, None, None, None, 'Battleship'], [None, None, None, 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', None, 'Battleship'], [None, None, None, None, None, None, None, None, None, 'Battleship'], [None, None, None, 'Submarine', 'Submarine', 'Submarine', None, None, None, 'Battleship'], [None, None, None, None, None, None, None, None, None, None]]"
28,"[[None, 'Battleship', 'Battleship', 'Battleship', 'Battleship', None, None, None, None, None], [None, None, 'Aircraft_Carrier', None, None, None, None, None, None, 'Submarine'], [None, None, 'Aircraft_Carrier', None, None, None, None, None, None, 'Submarine'], [None, None, 'Aircraft_Carrier', None, None, None, None, None, None, 'Submarine'], ['Cruiser', None, 'Aircraft_Carrier', None, None, None, None, None, None, None], ['Cruiser', None, 'Aircraft_Carrier', None, None, None, None, None, None, None], ['Cruiser', None, None, None, None, None, None, None, None, None], [None, 'Destroyer', 'Destroyer', None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None]]"
46,"[['Submarine', 'Submarine', 'Submarine', None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], ['Destroyer', 'Destroyer', 'Battleship', None, 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', None], [None, None, 'Battleship', None, None, None, None, None, None, None], [None, None, 'Battleship', None, None, None, None, None, None, None], [None, None, 'Battleship', None, 'Cruiser', 'Cruiser', 'Cruiser', None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None]]"
30,"[[None, None, None, None, None, None, None, 'Submarine', 'Submarine', 'Submarine'], [None, None, None, None, 'Battleship', 'Battleship', 'Battleship', 'Battleship', None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, 'Destroyer', 'Destroyer'], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, 'Cruiser', None, None, None, None], [None, None, None, None, None, 'Cruiser', None, None, None, None], [None, None, None, None, None, 'Cruiser', None, None, None, None]]"
27,"[[None, None, None, 'Aircraft_Carrier', None, None, None, None, None, None], [None, None, 'Battleship', 'Aircraft_Carrier', None, None, None, 'Cruiser', 'Cruiser', 'Cruiser'], [None, None, 'Battleship', 'Aircraft_Carrier', None, None, None, None, None, None], [None, None, 'Battleship', 'Aircraft_Carrier', None, None, None, 'Submarine', None, None], [None, None, 'Battleship', 'Aircraft_Carrier', None, None, None, 'Submarine', None, None], [None, None, None, None, 'Destroyer', 'Destroyer', None, 'Submarine', None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None]]"
46,"[[None, None, None, None, None, 'Battleship', None, None, None, None], [None, None, None, None, None, 'Battleship', None, 'Submarine', None, None], [None, None, None, None, None, 'Battleship', None, 'Submarine', None, None], [None, None, None, None, None, 'Battleship', None, 'Submarine', None, None], [None, 'Cruiser', 'Cruiser', 'Cruiser', None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, 'Destroyer'], [None, None, None, None, None, None, None, None, None, 'Destroyer'], [None, None, None, None, None, None, None, None, None, None], [None, None, 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', None, None, None], [None, None, None, None, None, None, None, None, None, None]]"
38,"[[None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, 'Aircraft_Carrier', None, None, None, None, None, None], [None, None, None, 'Aircraft_Carrier', None, None, None, None, None, None], ['Submarine', None, 'Destroyer', 'Aircraft_Carrier', None, 'Battleship', 'Battleship', 'Battleship', 'Battleship', None], ['Submarine', None, 'Destroyer', 'Aircraft_Carrier', 'Cruiser', None, None, None, None, None], ['Submarine', None, None, 'Aircraft_Carrier', 'Cruiser', None, None, None, None, None], [None, None, None, None, 'Cruiser', None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None]]"
45,"[[None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, 'Aircraft_Carrier', None, None, None, None], [None, None, None, None, None, 'Aircraft_Carrier', None, None, None, None], [None, None, None, None, None, 'Aircraft_Carrier', None, None, None, None], [None, None, None, None, None, 'Aircraft_Carrier', None, 'Battleship', None, None], [None, None, None, None, None, 'Aircraft_Carrier', None, 'Battleship', None, None], [None, None, None, None, 'Submarine', None, None, 'Battleship', None, 'Destroyer'], [None, None, None, None, 'Submarine', None, None, 'Battleship', None, 'Destroyer'], [None, None, None, None, 'Submarine', None, 'Cruiser', 'Cruiser', 'Cruiser', None], [None, None, None, None, None, None, None, None, None, None]]"
37,"[[None, None, None, None, None, None, None, None, None, None], [None, 'Destroyer', 'Destroyer', None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, 'Submarine', None, None, None, None, None, None, None, None], [None, 'Submarine', None, 'Battleship', 'Battleship', 'Battleship', 'Battleship', None, None, None], [None, 'Submarine', None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, 'Cruiser', 'Cruiser', 'Cruiser', 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', None], [None, None, None, None, None, None, None, None, None, None]]"
37,"[[None, None, None, None, None, None, None, None, None, None], [None, None, 'Battleship', 'Battleship', 'Battleship', 'Battleship', None, None, None, None], [None, 'Cruiser', None, None, None, None, None, None, None, None], [None, 'Cruiser', None, None, None, None, None, None, None, None], [None, 'Cruiser', None, None, None, None, None, None, None, 'Destroyer'], [None, None, None, None, None, None, None, None, None, 'Destroyer'], [None, None, None, None, None, None, None, None, None, None], [None, 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', None, None, None, None], [None, None, None, None, None, None, 'Submarine', 'Submarine', 'Submarine', None], [None, None, None, None, None, None, None, None, None, None]]"
46,"[[None, None, None, None, 'Battleship', None, None, None, None, None], [None, None, None, None, 'Battleship', None, None, None, None, None], [None, None, None, None, 'Battleship', None, None, None, None, 'Submarine'], [None, None, 'Destroyer', None, 'Battleship', None, None, None, None, 'Submarine'], [None, None, 'Destroyer', 'Aircraft_Carrier', None, None, None, None, None, 'Submarine'], [None, None, None, 'Aircraft_Carrier', None, None, None, None, None, None], [None, None, None, 'Aircraft_Carrier', None, None, None, None, None, None], [None, None, None, 'Aircraft_Carrier', None, 'Cruiser', 'Cruiser', 'Cruiser', None, None], [None, None, None, 'Aircraft_Carrier', None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None]]"
43,"[[None, None, None, None, None, None, 'Battleship', None, None, None], ['Submarine', None, None, None, None, None, 'Battleship', None, None, None], ['Submarine', None, None, None, None, None, 'Battleship', None, None, None], ['Submarine', None, None, None, 'Aircraft_Carrier', None, 'Battleship', None, None, None], [None, None, None, None, 'Aircraft_Carrier', None, None, None, None, None], [None, None, None, 'Cruiser', 'Aircraft_Carrier', None, None, None, None, None], [None, None, None, 'Cruiser', 'Aircraft_Carrier', None, None, None, None, None], [None, None, None, 'Cruiser', 'Aircraft_Carrier', None, None, 'Destroyer', 'Destroyer', None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None]]"
39,"[[None, None, None, None, None, None, None, 'Submarine', 'Submarine', 'Submarine'], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, 'Battleship', 'Battleship', 'Battleship', 'Battleship', None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, 'Cruiser', None], [None, None, None, 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', 'Cruiser', None], [None, None, None, None, None, None, None, None, 'Cruiser', None], [None, None, None, None, None, None, None, None, None, None], [None, None, 'Destroyer', 'Destroyer', None, None, None, None, None, None]]"
23,"[[None, None, None, None, 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, 'Cruiser', 'Cruiser', 'Cruiser', None, None, None, None, None, None], [None, None, None, 'Submarine', 'Submarine', 'Submarine', None, None, None, None], [None, None, None, None, 'Battleship', None, None, None, None, None], [None, None, None, None, 'Battleship', None, None, None, None, None], [None, None, None, None, 'Battleship', None, None, None, None, None], [None, None, None, None, 'Battleship', None, None, None, None, None], [None, None, None, 'Destroyer', 'Destroyer', None, None, None, None, None]]"
43,"[[None, None, None, None, None, None, None, None, None, None], [None, 'Battleship', 'Battleship', 'Battleship', 'Battleship', None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, 'Destroyer', None, None, None, None, None, None, None], [None, None, 'Destroyer', None, None, None, None, 'Aircraft_Carrier', None, None], [None, None, None, None, None, None, None, 'Aircraft_Carrier', None, None], [None, None, None, None, None, None, None, 'Aircraft_Carrier', None, 'Cruiser'], [None, None, None, 'Submarine', 'Submarine', 'Submarine', None, 'Aircraft_Carrier', None, 'Cruiser'], [None, None, None, None, None, None, None, 'Aircraft_Carrier', None, 'Cruiser']]"
47,"[[None, 'Destroyer', None, None, None, None, None, None, None, None], [None, 'Destroyer', None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, 'Battleship', 'Battleship', 'Battleship', 'Battleship', None, None, None, None, None], [None, 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', None, None, None, None], [None, None, None, None, 'Submarine', None, None, None, None, 'Cruiser'], [None, None, None, None, 'Submarine', None, None, None, None, 'Cruiser'], [None, None, None, None, 'Submarine', None, None, None, None, 'Cruiser']]"
36,"[[None, None, None, 'Cruiser', 'Cruiser', 'Cruiser', None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, 'Destroyer', 'Destroyer', None, None, None, None, None, None, None], [None, None, None, 'Submarine', None, None, 'Battleship', 'Battleship', 'Battleship', 'Battleship'], [None, None, None, 'Submarine', None, None, None, None, None, None], [None, None, None, 'Submarine', 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None]]"
51,"[[None, None, None, None, None, None, None, None, None, None], [None, None, None, None, 'Cruiser', 'Cruiser', 'Cruiser', None, None, None], [None, 'Submarine', None, None, None, None, None, None, None, None], [None, 'Submarine', None, None, None, None, None, None, None, None], [None, 'Submarine', None, None, None, None, 'Destroyer', 'Destroyer', None, None], ['Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, 'Battleship', 'Battleship', 'Battleship', 'Battleship', None], [None, None, None, None, None, None, None, None, None, None]]"
40,"[[None, None, None, 'Destroyer', 'Destroyer', None, None, None, None, None], [None, 'Battleship', None, None, None, None, None, None, None, None], [None, 'Battleship', 'Cruiser', None, None, None, None, None, None, None], [None, 'Battleship', 'Cruiser', None, None, None, None, None, None, None], [None, 'Battleship', 'Cruiser', None, None, 'Submarine', 'Submarine', 'Submarine', None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier']]"
48,"[[None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, 'Destroyer', 'Destroyer', None, None, None, None, None], [None, None, None, 'Cruiser', 'Cruiser', 'Cruiser', None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, 'Battleship', None, None, None, None], [None, None, None, None, None, 'Battleship', None, None, None, None], [None, None, None, None, None, 'Battleship', None, None, None, 'Submarine'], ['Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', 'Battleship', None, None, None, 'Submarine'], [None, None, None, None, None, None, None, None, None, 'Submarine']]"
36,"[[None, None, None, None, None, 'Destroyer', None, 'Cruiser', None, None], [None, None, None, None, None, 'Destroyer', None, 'Cruiser', None, 'Battleship'], [None, None, None, None, None, None, None, 'Cruiser', None, 'Battleship'], [None, None, None, None, None, None, None, None, None, 'Battleship'], [None, None, None, None, None, None, None, None, None, 'Battleship'], [None, None, None, None, None, None, None, None, None, 'Aircraft_Carrier'], [None, None, None, None, None, None, None, None, None, 'Aircraft_Carrier'], [None, None, None, None, None, None, None, None, None, 'Aircraft_Carrier'], [None, None, None, None, None, None, None, None, None, 'Aircraft_Carrier'], [None, None, 'Submarine', 'Submarine', 'Submarine', None, None, None, None, 'Aircraft_Carrier']]"
40,"[[None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], ['Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', None, None, None, None, 'Cruiser'], [None, None, 'Submarine', None, None, None, None, None, None, 'Cruiser'], [None, None, 'Submarine', None, None, None, 'Battleship', None, None, 'Cruiser'], [None, None, 'Submarine', None, 'Destroyer', None, 'Battleship', None, None, None], [None, None, None, None, 'Destroyer', None, 'Battleship', None, None, None], [None, None, None, None, None, None, 'Battleship', None, None, None], [None, None, None, None, None, None, None, None, None, None]]"
44,"[[None, None, None, None, 'Destroyer', None, None, 'Cruiser', 'Cruiser', 'Cruiser'], [None, None, None, None, 'Destroyer', None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, 'Submarine', None, None, None, None, None, None, None, None], [None, 'Submarine', None, None, None, 'Battleship', None, None, None, None], [None, 'Submarine', None, None, None, 'Battleship', None, None, 'Aircraft_Carrier', None], [None, None, None, None, None, 'Battleship', None, None, 'Aircraft_Carrier', None], [None, None, None, None, None, 'Battleship', None, None, 'Aircraft_Carrier', None], [None, None, None, None, None, None, None, None, 'Aircraft_Carrier', None], [None, None, None, None, None, None, None, None, 'Aircraft_Carrier', None]]"
28,"[[None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, 'Destroyer', None, None, None, None, None, None, None, None], [None, 'Destroyer', None, None, None, None, None, None, 'Battleship', None], [None, None, None, None, None, None, None, None, 'Battleship', None], [None, None, None, None, None, None, None, None, 'Battleship', None], [None, None, None, 'Submarine', 'Submarine', 'Submarine', None, None, 'Battleship', None], [None, None, 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', None, None, None], [None, None, None, None, None, None, None, 'Cruiser', 'Cruiser', 'Cruiser'], [None, None, None, None, None, None, None, None, None, None]]"
45,"[[None, None, None, None, 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, 'Battleship', 'Battleship', 'Battleship', 'Battleship', None, 'Submarine', None, None, None], [None, None, None, None, None, None, 'Submarine', None, None, None], ['Destroyer', None, None, None, None, None, 'Submarine', 'Cruiser', 'Cruiser', 'Cruiser'], ['Destroyer', None, None, None, None, None, None, None, None, None]]"
35,"[[None, None, None, 'Destroyer', 'Destroyer', None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, 'Aircraft_Carrier', None, None, 'Battleship', 'Battleship', 'Battleship', 'Battleship', None], [None, None, 'Aircraft_Carrier', None, None, None, None, None, None, None], [None, None, 'Aircraft_Carrier', None, None, None, None, None, None, None], [None, None, 'Aircraft_Carrier', None, None, None, None, 'Cruiser', 'Cruiser', 'Cruiser'], [None, None, 'Aircraft_Carrier', None, 'Submarine', 'Submarine', 'Submarine', None, None, None], [None, None, None, None, None, None, None, None, None, None]]"
53,"[[None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, 'Battleship', None, None, None, None, None], [None, None, 'Aircraft_Carrier', None, 'Battleship', None, None, 'Cruiser', 'Cruiser', 'Cruiser'], [None, None, 'Aircraft_Carrier', None, 'Battleship', None, None, None, None, None], [None, None, 'Aircraft_Carrier', None, 'Battleship', None, None, None, None, None], [None, None, 'Aircraft_Carrier', None, None, None, None, None, None, None], [None, None, 'Aircraft_Carrier', None, None, None, None, None, None, None], [None, None, None, 'Destroyer', 'Destroyer', None, None, None, None, None], [None, None, 'Submarine', 'Submarine', 'Submarine', None, None, None, None, None]]"
